State,District,Year,Season,Crop,Area_ha,Production_q,Yield_q_per_ha
Andhra Pradesh,Krishna,2022,Kharif,Jowar,19643,276966,14.1
Andhra Pradesh,Krishna,2022,Summer,Tomato,7456,172979,23.2
Andhra Pradesh,Krishna,2022,Rabi,Rice,16819,612211,36.4
Andhra Pradesh,Nellore,2015,Rabi,Potato,10688,2253030,210.8
Andhra Pradesh,Nellore,2015,Kharif,Jowar,14423,187499,13.0
Andhra Pradesh,Nellore,2015,Kharif,Bajra,11861,182659,15.4
Andhra Pradesh,Nellore,2015,Rabi,Wheat,6013,255552,42.5
Andhra Pradesh,Nellore,2015,Kharif,Onion,15086,357538,23.7
Andhra Pradesh,Nellore,2015,Kharif,Pigeonpea,16488,229183,13.9
Andhra Pradesh,Nellore,2015,Kharif,Cotton,11560,232356,20.1
Andhra Pradesh,Nellore,2015,Kharif,Ragi,12983,222009,17.1
Andhra Pradesh,Nellore,2016,Rabi,Potato,8696,2059212,236.8
Andhra Pradesh,Nellore,2016,Rabi,Jowar,8525,111677,13.1
Andhra Pradesh,Nellore,2016,Kharif,Bajra,10023,133305,13.3
Andhra Pradesh,Nellore,2016,Rabi,Wheat,8386,361436,43.1
Andhra Pradesh,Nellore,2016,Kharif,Onion,7371,180589,24.5
Andhra Pradesh,Nellore,2016,Kharif,Pigeonpea,9994,139916,14.0
Andhra Pradesh,Nellore,2016,Kharif,Cotton,6181,127946,20.7
Andhra Pradesh,Nellore,2016,Kharif,Ragi,9170,176064,19.2
Andhra Pradesh,Nellore,2017,Rabi,Potato,17972,4243189,236.1
Andhra Pradesh,Nellore,2017,Rabi,Jowar,10165,127062,12.5
Andhra Pradesh,Nellore,2017,Kharif,Bajra,17225,254930,14.8
Andhra Pradesh,Nellore,2017,Rabi,Wheat,20502,953343,46.5
Andhra Pradesh,Nellore,2017,Kharif,Onion,18952,511704,27.0
Andhra Pradesh,Nellore,2017,Kharif,Pigeonpea,17554,268576,15.3
Andhra Pradesh,Nellore,2017,Kharif,Cotton,14101,265098,18.8
Andhra Pradesh,Nellore,2017,Kharif,Ragi,19081,364447,19.1
Andhra Pradesh,Nellore,2018,Rabi,Potato,9998,2266546,226.7
Andhra Pradesh,Nellore,2018,Rabi,Jowar,11362,143161,12.6
Andhra Pradesh,Nellore,2018,Kharif,Bajra,12476,177159,14.2
Andhra Pradesh,Nellore,2018,Rabi,Wheat,13577,521356,38.4
Andhra Pradesh,Nellore,2018,Kharif,Onion,8010,209862,26.2
Andhra Pradesh,Nellore,2018,Kharif,Pigeonpea,12842,175935,13.7
Andhra Pradesh,Nellore,2018,Kharif,Cotton,12777,250429,19.6
Andhra Pradesh,Nellore,2018,Kharif,Ragi,2640,46200,17.5
Andhra Pradesh,Nellore,2019,Rabi,Potato,12526,2740688,218.8
Andhra Pradesh,Nellore,2019,Rabi,Jowar,15730,234377,14.9
Andhra Pradesh,Nellore,2019,Kharif,Bajra,10943,164145,15.0
Andhra Pradesh,Nellore,2019,Rabi,Wheat,18742,785289,41.9
Andhra Pradesh,Nellore,2019,Kharif,Onion,14248,370448,26.0
Andhra Pradesh,Nellore,2019,Kharif,Pigeonpea,6182,93348,15.1
Andhra Pradesh,Nellore,2019,Kharif,Cotton,6888,151536,22.0
Andhra Pradesh,Nellore,2019,Kharif,Ragi,6446,119895,18.6
Andhra Pradesh,Nellore,2020,Rabi,Potato,9524,1935276,203.2
Andhra Pradesh,Nellore,2020,Rabi,Jowar,16899,226446,13.4
Andhra Pradesh,Nellore,2020,Kharif,Bajra,14423,207691,14.4
Andhra Pradesh,Nellore,2020,Rabi,Wheat,19813,881678,44.5
Andhra Pradesh,Nellore,2020,Kharif,Onion,16411,443097,27.0
Andhra Pradesh,Nellore,2020,Kharif,Pigeonpea,3706,54848,14.8
Andhra Pradesh,Nellore,2020,Kharif,Cotton,8248,154237,18.7
Andhra Pradesh,Nellore,2020,Kharif,Ragi,10102,192948,19.1
Andhra Pradesh,Nellore,2021,Rabi,Potato,5993,1425734,237.9
Andhra Pradesh,Nellore,2021,Kharif,Jowar,5748,72999,12.7
Andhra Pradesh,Nellore,2021,Kharif,Bajra,10396,154900,14.9
Andhra Pradesh,Nellore,2021,Rabi,Wheat,9753,377441,38.7
Andhra Pradesh,Nellore,2021,Rabi,Onion,4542,126267,27.8
Andhra Pradesh,Nellore,2021,Kharif,Pigeonpea,14298,220189,15.4
Andhra Pradesh,Nellore,2021,Kharif,Cotton,12498,276205,22.1
Andhra Pradesh,Nellore,2021,Kharif,Ragi,9957,183208,18.4
Andhra Pradesh,Nellore,2022,Rabi,Potato,10882,2507212,230.4
Andhra Pradesh,Nellore,2022,Kharif,Jowar,3345,50175,15.0
Andhra Pradesh,Nellore,2022,Kharif,Bajra,14142,213544,15.1
Andhra Pradesh,Nellore,2022,Rabi,Wheat,17181,723320,42.1
Andhra Pradesh,Nellore,2022,Rabi,Onion,17062,462380,27.1
Andhra Pradesh,Nellore,2022,Kharif,Pigeonpea,13868,191378,13.8
Andhra Pradesh,Nellore,2022,Kharif,Cotton,20270,425670,21.0
Andhra Pradesh,Nellore,2022,Kharif,Ragi,10850,206150,19.0
Andhra Pradesh,Prakasam,2015,Kharif,Jowar,16771,223054,13.3
Andhra Pradesh,Prakasam,2015,Rabi,Mustard,14418,213386,14.8
Andhra Pradesh,Prakasam,2015,Kharif,Soybean,12650,223905,17.7
Andhra Pradesh,Prakasam,2015,Rabi,Onion,12626,314387,24.9
Andhra Pradesh,Prakasam,2015,Annual,Sugarcane,15052,1157498,76.9
Andhra Pradesh,Prakasam,2015,Kharif,Pigeonpea,8260,116466,14.1
Andhra Pradesh,Prakasam,2015,Kharif,Groundnut,15317,258857,16.9
Andhra Pradesh,Prakasam,2015,Rabi,Chickpea,9874,159958,16.2
Andhra Pradesh,Prakasam,2016,Rabi,Jowar,18083,262203,14.5
Andhra Pradesh,Prakasam,2016,Rabi,Mustard,5049,75735,15.0
Andhra Pradesh,Prakasam,2016,Kharif,Soybean,9972,186476,18.7
Andhra Pradesh,Prakasam,2016,Kharif,Onion,13092,340392,26.0
Andhra Pradesh,Prakasam,2016,Annual,Sugarcane,17264,1398384,81.0
Andhra Pradesh,Prakasam,2016,Kharif,Pigeonpea,12839,201572,15.7
Andhra Pradesh,Prakasam,2016,Kharif,Groundnut,10877,205575,18.9
Andhra Pradesh,Prakasam,2016,Rabi,Chickpea,5953,89295,15.0
Andhra Pradesh,Prakasam,2017,Kharif,Jowar,19559,262090,13.4
Andhra Pradesh,Prakasam,2017,Rabi,Mustard,17866,232258,13.0
Andhra Pradesh,Prakasam,2017,Kharif,Soybean,19191,404930,21.1
Andhra Pradesh,Prakasam,2017,Kharif,Onion,7360,205344,27.9
Andhra Pradesh,Prakasam,2017,Annual,Sugarcane,11879,888549,74.8
Andhra Pradesh,Prakasam,2017,Kharif,Pigeonpea,19502,241824,12.4
Andhra Pradesh,Prakasam,2017,Kharif,Groundnut,3786,64362,17.0
Andhra Pradesh,Prakasam,2017,Rabi,Chickpea,6137,103101,16.8
Andhra Pradesh,Prakasam,2018,Rabi,Jowar,2401,30492,12.7
Andhra Pradesh,Prakasam,2018,Rabi,Mustard,16433,228418,13.9
Andhra Pradesh,Prakasam,2018,Kharif,Soybean,3683,68135,18.5
Andhra Pradesh,Prakasam,2018,Kharif,Onion,16654,459650,27.6
Andhra Pradesh,Prakasam,2018,Rabi,Sugarcane,19130,1649006,86.2
Andhra Pradesh,Prakasam,2018,Kharif,Pigeonpea,3756,47325,12.6
Andhra Pradesh,Prakasam,2018,Kharif,Groundnut,11956,197274,16.5
Andhra Pradesh,Prakasam,2018,Rabi,Chickpea,5881,105269,17.9
Andhra Pradesh,Prakasam,2019,Rabi,Jowar,9395,135288,14.4
Andhra Pradesh,Prakasam,2019,Rabi,Mustard,16507,227796,13.8
Andhra Pradesh,Prakasam,2019,Kharif,Soybean,16051,348306,21.7
Andhra Pradesh,Prakasam,2019,Kharif,Onion,2973,75514,25.4
Andhra Pradesh,Prakasam,2019,Kharif,Sugarcane,9251,821488,88.8
Andhra Pradesh,Prakasam,2019,Kharif,Pigeonpea,10671,153662,14.4
Andhra Pradesh,Prakasam,2019,Kharif,Groundnut,7695,126967,16.5
Andhra Pradesh,Prakasam,2019,Rabi,Chickpea,15386,226174,14.7
Andhra Pradesh,Prakasam,2020,Rabi,Jowar,17398,254010,14.6
Andhra Pradesh,Prakasam,2020,Rabi,Mustard,11440,141856,12.4
Andhra Pradesh,Prakasam,2020,Kharif,Soybean,16877,354417,21.0
Andhra Pradesh,Prakasam,2020,Rabi,Onion,9668,252334,26.1
Andhra Pradesh,Prakasam,2020,Kharif,Sugarcane,12482,1019779,81.7
Andhra Pradesh,Prakasam,2020,Kharif,Pigeonpea,9366,118948,12.7
Andhra Pradesh,Prakasam,2020,Kharif,Groundnut,6660,131868,19.8
Andhra Pradesh,Prakasam,2020,Rabi,Chickpea,12079,172729,14.3
Andhra Pradesh,Prakasam,2021,Rabi,Jowar,17358,239540,13.8
Andhra Pradesh,Prakasam,2021,Rabi,Mustard,10920,160524,14.7
Andhra Pradesh,Prakasam,2021,Kharif,Soybean,3306,65128,19.7
Andhra Pradesh,Prakasam,2021,Kharif,Onion,9204,242985,26.4
Andhra Pradesh,Prakasam,2021,Rabi,Sugarcane,6679,482223,72.2
Andhra Pradesh,Prakasam,2021,Kharif,Pigeonpea,7740,110682,14.3
Andhra Pradesh,Prakasam,2021,Kharif,Groundnut,16490,298469,18.1
Andhra Pradesh,Prakasam,2021,Rabi,Chickpea,16283,240988,14.8
Andhra Pradesh,Prakasam,2022,Rabi,Jowar,17401,271455,15.6
Andhra Pradesh,Prakasam,2022,Rabi,Mustard,12520,171524,13.7
Andhra Pradesh,Prakasam,2022,Kharif,Soybean,12807,277911,21.7
Andhra Pradesh,Prakasam,2022,Kharif,Onion,10444,273632,26.2
Andhra Pradesh,Prakasam,2022,Kharif,Sugarcane,7202,637377,88.5
Andhra Pradesh,Prakasam,2022,Kharif,Pigeonpea,10270,129402,12.6
Andhra Pradesh,Prakasam,2022,Kharif,Groundnut,15244,248477,16.3
Andhra Pradesh,Prakasam,2022,Rabi,Chickpea,19779,328331,16.6
Andhra Pradesh,Chittoor,2015,Kharif,Ragi,8670,165597,19.1
Andhra Pradesh,Chittoor,2015,Kharif,Soybean,11438,231047,20.2
Andhra Pradesh,Chittoor,2015,Rabi,Rice,21883,884073,40.4
Andhra Pradesh,Chittoor,2015,Rabi,Chickpea,9841,139742,14.2
Andhra Pradesh,Chittoor,2015,Kharif,Cotton,6448,123156,19.1
Andhra Pradesh,Chittoor,2015,Kharif,Groundnut,5717,92615,16.2
Andhra Pradesh,Chittoor,2015,Annual,Sugarcane,11045,978586,88.6
Andhra Pradesh,Chittoor,2015,Rabi,Mustard,11563,179226,15.5
Andhra Pradesh,Chittoor,2016,Kharif,Ragi,17810,313456,17.6
Andhra Pradesh,Chittoor,2016,Kharif,Soybean,6739,126693,18.8
Andhra Pradesh,Chittoor,2016,Rabi,Rice,22654,777032,34.3
Andhra Pradesh,Chittoor,2016,Rabi,Chickpea,11052,192304,17.4
Andhra Pradesh,Chittoor,2016,Kharif,Cotton,22637,434630,19.2
Andhra Pradesh,Chittoor,2016,Kharif,Groundnut,11268,218599,19.4
Andhra Pradesh,Chittoor,2016,Kharif,Sugarcane,22044,1677548,76.1
Andhra Pradesh,Chittoor,2016,Rabi,Mustard,17870,246606,13.8
Andhra Pradesh,Chittoor,2017,Kharif,Ragi,19807,342661,17.3
Andhra Pradesh,Chittoor,2017,Kharif,Soybean,12544,248371,19.8
Andhra Pradesh,Chittoor,2017,Kharif,Rice,13825,570972,41.3
Andhra Pradesh,Chittoor,2017,Rabi,Chickpea,15460,231900,15.0
Andhra Pradesh,Chittoor,2017,Kharif,Cotton,21498,410611,19.1
Andhra Pradesh,Chittoor,2017,Kharif,Groundnut,6984,122220,17.5
Andhra Pradesh,Chittoor,2017,Annual,Sugarcane,10136,901090,88.9
Andhra Pradesh,Chittoor,2017,Rabi,Mustard,16427,249690,15.2
Andhra Pradesh,Chittoor,2018,Kharif,Ragi,16972,307193,18.1
Andhra Pradesh,Chittoor,2018,Kharif,Soybean,15434,325657,21.1
Andhra Pradesh,Chittoor,2018,Kharif,Rice,14684,487508,33.2
Andhra Pradesh,Chittoor,2018,Rabi,Chickpea,15024,247896,16.5
Andhra Pradesh,Chittoor,2018,Kharif,Cotton,23485,509624,21.7
Andhra Pradesh,Chittoor,2018,Kharif,Groundnut,17989,359780,20.0
Andhra Pradesh,Chittoor,2018,Kharif,Sugarcane,8242,586006,71.1
Andhra Pradesh,Chittoor,2018,Rabi,Mustard,11416,164390,14.4
Andhra Pradesh,Chittoor,2019,Kharif,Ragi,16220,309802,19.1
Andhra Pradesh,Chittoor,2019,Kharif,Soybean,5293,112211,21.2
Andhra Pradesh,Chittoor,2019,Rabi,Rice,15812,537608,34.0
Andhra Pradesh,Chittoor,2019,Rabi,Chickpea,3838,54883,14.3
Andhra Pradesh,Chittoor,2019,Kharif,Cotton,20112,388161,19.3
Andhra Pradesh,Chittoor,2019,Kharif,Groundnut,15502,261983,16.9
Andhra Pradesh,Chittoor,2019,Kharif,Sugarcane,11900,993650,83.5
Andhra Pradesh,Chittoor,2019,Rabi,Mustard,14535,187501,12.9
Andhra Pradesh,Chittoor,2020,Kharif,Ragi,6689,120402,18.0
Andhra Pradesh,Chittoor,2020,Kharif,Soybean,10322,204375,19.8
Andhra Pradesh,Chittoor,2020,Rabi,Rice,6307,219483,34.8
Andhra Pradesh,Chittoor,2020,Rabi,Chickpea,19910,348425,17.5
Andhra Pradesh,Chittoor,2020,Kharif,Cotton,17323,311814,18.0
Andhra Pradesh,Chittoor,2020,Kharif,Groundnut,15903,295795,18.6
Andhra Pradesh,Chittoor,2020,Kharif,Sugarcane,15899,1195604,75.2
Andhra Pradesh,Chittoor,2020,Rabi,Mustard,17833,279978,15.7
Andhra Pradesh,Chittoor,2021,Kharif,Ragi,13762,232577,16.9
Andhra Pradesh,Chittoor,2021,Kharif,Soybean,11674,261497,22.4
Andhra Pradesh,Chittoor,2021,Kharif,Rice,18969,781522,41.2
Andhra Pradesh,Chittoor,2021,Rabi,Chickpea,3607,50858,14.1
Andhra Pradesh,Chittoor,2021,Kharif,Cotton,15378,332164,21.6
Andhra Pradesh,Chittoor,2021,Kharif,Groundnut,13544,250564,18.5
Andhra Pradesh,Chittoor,2021,Rabi,Sugarcane,14212,1173911,82.6
Andhra Pradesh,Chittoor,2021,Rabi,Mustard,3291,47390,14.4
Andhra Pradesh,Chittoor,2022,Kharif,Ragi,3093,59385,19.2
Andhra Pradesh,Chittoor,2022,Kharif,Soybean,4953,104508,21.1
Andhra Pradesh,Chittoor,2022,Rabi,Rice,19615,696332,35.5
Andhra Pradesh,Chittoor,2022,Rabi,Chickpea,19675,293157,14.9
Andhra Pradesh,Chittoor,2022,Kharif,Cotton,14930,300093,20.1
Andhra Pradesh,Chittoor,2022,Kharif,Groundnut,17789,302413,17.0
Andhra Pradesh,Chittoor,2022,Annual,Sugarcane,17099,1448285,84.7
Andhra Pradesh,Chittoor,2022,Rabi,Mustard,4467,62091,13.9
Andhra Pradesh,East Godavari,2015,Kharif,Pigeonpea,14929,188105,12.6
Andhra Pradesh,East Godavari,2015,Rabi,Tomato,5049,105019,20.8
Andhra Pradesh,East Godavari,2015,Rabi,Chickpea,10590,164145,15.5
Andhra Pradesh,East Godavari,2015,Rabi,Potato,13172,3121764,237.0
Andhra Pradesh,East Godavari,2015,Rabi,Onion,16449,427674,26.0
Andhra Pradesh,East Godavari,2015,Kharif,Ragi,12748,235838,18.5
Andhra Pradesh,East Godavari,2015,Kharif,Soybean,17213,356309,20.7
Andhra Pradesh,East Godavari,2015,Kharif,Cotton,9823,203336,20.7
Andhra Pradesh,East Godavari,2016,Kharif,Pigeonpea,3219,40237,12.5
Andhra Pradesh,East Godavari,2016,Kharif,Tomato,4805,118203,24.6
Andhra Pradesh,East Godavari,2016,Rabi,Chickpea,19614,294210,15.0
Andhra Pradesh,East Godavari,2016,Rabi,Potato,13157,2816913,214.1
Andhra Pradesh,East Godavari,2016,Kharif,Onion,6063,154606,25.5
Andhra Pradesh,East Godavari,2016,Kharif,Ragi,18034,337235,18.7
Andhra Pradesh,East Godavari,2016,Kharif,Soybean,11166,246768,22.1
Andhra Pradesh,East Godavari,2016,Kharif,Cotton,13119,274187,20.9
Andhra Pradesh,East Godavari,2017,Kharif,Pigeonpea,9736,134356,13.8
Andhra Pradesh,East Godavari,2017,Kharif,Tomato,13036,259416,19.9
Andhra Pradesh,East Godavari,2017,Rabi,Chickpea,11040,157872,14.3
Andhra Pradesh,East Godavari,2017,Rabi,Potato,15900,3890730,244.7
Andhra Pradesh,East Godavari,2017,Rabi,Onion,1699,44174,26.0
Andhra Pradesh,East Godavari,2017,Kharif,Ragi,9981,191635,19.2
Andhra Pradesh,East Godavari,2017,Kharif,Soybean,8724,186693,21.4
Andhra Pradesh,East Godavari,2017,Kharif,Cotton,12788,276220,21.6
Andhra Pradesh,East Godavari,2018,Kharif,Pigeonpea,9634,145473,15.1
Andhra Pradesh,East Godavari,2018,Kharif,Tomato,1092,25552,23.4
Andhra Pradesh,East Godavari,2018,Rabi,Chickpea,6741,117293,17.4
Andhra Pradesh,East Godavari,2018,Rabi,Potato,6717,1491845,222.1
Andhra Pradesh,East Godavari,2018,Rabi,Onion,1844,47944,26.0
Andhra Pradesh,East Godavari,2018,Kharif,Ragi,9796,155756,15.9
Andhra Pradesh,East Godavari,2018,Kharif,Soybean,10695,189301,17.7
Andhra Pradesh,East Godavari,2018,Kharif,Cotton,19794,360250,18.2
Andhra Pradesh,East Godavari,2019,Kharif,Pigeonpea,17605,260554,14.8
Andhra Pradesh,East Godavari,2019,Kharif,Tomato,17817,418699,23.5
Andhra Pradesh,East Godavari,2019,Rabi,Chickpea,9259,146292,15.8
Andhra Pradesh,East Godavari,2019,Rabi,Potato,18086,4195952,232.0
Andhra Pradesh,East Godavari,2019,Kharif,Onion,2020,49894,24.7
Andhra Pradesh,East Godavari,2019,Kharif,Ragi,15160,306232,20.2
Andhra Pradesh,East Godavari,2019,Kharif,Soybean,18065,377558,20.9
